Query	Parent	Child
stinger	cocktail	pseudo leaf
papaya juice	juice	pseudo leaf
buffalo wing	snack food	pseudo leaf
clary sage	sage	pseudo leaf
cinnamon toast	toast	pseudo leaf
malmsey	wine	pseudo leaf
taco sauce	sauce	pseudo leaf
pulque	beverage	pseudo leaf
chicken soup	soup	pseudo leaf
chili sauce	condiment	pseudo leaf
milk	beverage	pseudo leaf
emmenthal	swiss cheese	pseudo leaf
sparkling wine	wine	pseudo leaf
sweetening	flavorer	pseudo leaf
drambuie	liqueur	pseudo leaf
munich beer	lager	pseudo leaf
scone	quick bread	pseudo leaf
brandy	liquor	pseudo leaf
fried rice	dish	pseudo leaf
fish cake	dish	pseudo leaf
fad diet	diet	pseudo leaf
high protein diet	diet	pseudo leaf
side dish	dish	pseudo leaf
biryani	dish	pseudo leaf
loblolly	gruel	pseudo leaf
neutral spirits	liquor	pseudo leaf
neapolitan ice cream	ice cream	pseudo leaf
hotchpotch	starches	pseudo leaf
cup	beverage	pseudo leaf
beef stroganoff	dish	pseudo leaf
boston baked beans	dish	pseudo leaf
bun	starches	pseudo leaf
hard boiled egg	boiled egg	pseudo leaf
mulligatawny	soup	pseudo leaf
black bread	starches	pseudo leaf
confectionery	sweet	pseudo leaf
powdered milk	beverage	pseudo leaf
bourbon	whiskey	pseudo leaf
cheese	dairy product	pseudo leaf
moselle	wine	pseudo leaf
french fries	potato	pseudo leaf
bread sauce	white sauce	pseudo leaf
catsup	sauce	pseudo leaf
caesar salad	dish	pseudo leaf
choice morsel	dainty	pseudo leaf
creme brulee	dish	pseudo leaf
pepperoni pizza	pizza	pseudo leaf
stuffed peppers	dish	pseudo leaf
sugarplum	candied fruit	pseudo leaf
suds	soft drink	pseudo leaf
claret	red wine	pseudo leaf
treacle	syrup	pseudo leaf
soave	wine	pseudo leaf
gravy	sauce	pseudo leaf
saute	dish	pseudo leaf
bordelaise	sauce	pseudo leaf
bubble and squeak	dish	pseudo leaf
burgoo	porridge	pseudo leaf
limpa	rye bread	pseudo leaf
macon	fare	pseudo leaf
julep	dessert	pseudo leaf
honey crisp	candy	pseudo leaf
bean dip	dip	pseudo leaf
sour bread	starches	pseudo leaf
newburg sauce	sauce	pseudo leaf
cheese souffle	souffle	pseudo leaf
demerara	sugar	pseudo leaf
barbecue sauce	sauce	pseudo leaf
tequila	liquor	pseudo leaf
buttermilk	dairy product	pseudo leaf
open face sandwich	sandwich	pseudo leaf
culture medium	food	pseudo leaf
mixed drink	beverage	pseudo leaf
mushy peas	dish	pseudo leaf
ravigote	sauce	pseudo leaf
fodder	feed	stover
old fashioned	cocktail	pseudo leaf
limburger	dairy product	pseudo leaf
aioli	dressing	pseudo leaf
parfait	dessert	pseudo leaf
stock cube	cocktail	pseudo leaf
tamale	fare	pseudo leaf
salad	tossed salad	chef's salad
goats' milk	dairy product	pseudo leaf
puff paste	spread	pseudo leaf
vitamin b12	b complex vitamin	pseudo leaf
shrimp newburg	dish	pseudo leaf
congou	tea	pseudo leaf
vitamin k3	vitamin k	pseudo leaf
ginger ale	soft drink	pseudo leaf
near beer	beverage	pseudo leaf
whole wheat flour	flour	pseudo leaf
flip	hors d'oeuvre	pseudo leaf
philter	beverage	pseudo leaf
baked alaska	quick bread	pseudo leaf
chocolate mousse	mousse	pseudo leaf
spaghetti	dish	pseudo leaf
barbecued spareribs	dish	pseudo leaf
whole milk	beverage	pseudo leaf
salmi	ragout	pseudo leaf
gazpacho	soup	pseudo leaf
bulgur	meal	pseudo leaf
banquet	dinner	pseudo leaf
egg roll	dish	pseudo leaf
custard	dessert	pseudo leaf
horehound	herb	pseudo leaf
life saver	candy	pseudo leaf
eau de vie	liquor	pseudo leaf
tapioca pudding	pudding	pseudo leaf
marshmallow	candy	pseudo leaf
olive	condiment	pseudo leaf
generic	wine	pseudo leaf
veal parmesan	dish	pseudo leaf
frozen dessert	dessert	pseudo leaf
blood meal	meal	pseudo leaf
chili powder	flavorer	pseudo leaf
brunch	breakfast	pseudo leaf
cocktail sauce	sauce	pseudo leaf
shrimp butter	spread	pseudo leaf
cane sugar	sugar	pseudo leaf
dough	concoction	pseudo leaf
soya milk	dairy product	pseudo leaf
proof spirit	mix	pseudo leaf
marjoram	herb	pseudo leaf
brew	beverage	pseudo leaf
tom and jerry	rum	pseudo leaf
sack	roughage	pseudo leaf
rosemary	herb	pseudo leaf
tipsy cake	trifle	pseudo leaf
stuffed tomato	dish	pseudo leaf
juniper berries	flavorer	pseudo leaf
light diet	diet	pseudo leaf
inositol	b complex vitamin	pseudo leaf
hotdog	sandwich	chili dog
castor sugar	sugar	pseudo leaf
rhone wine	wine	pseudo leaf
cheese spread	spread	pseudo leaf
weizenbier	weissbier	pseudo leaf
pastis	herb	pseudo leaf
whip	course	prune whip
horseradish	feed	pseudo leaf
simnel	white bread	pseudo leaf
water biscuit	quick bread	pseudo leaf
frankfurter bun	starches	pseudo leaf
yorkshire pudding	quick bread	pseudo leaf
saccharin	flavorer	pseudo leaf
darjeeling	black tea	pseudo leaf
center	fare	pseudo leaf
