Query	Parent	Child
spoonfeed||spoonfeed.v.02	drill||drill.v.04	pseudo leaf
walk||walk.v.06	hold||hold.v.14	pseudo leaf
set||set.v.05	make||make.v.02	pseudo leaf
look||look.v.09	match||match.v.01	pseudo leaf
charge||charge.v.17	position||position.v.01	pseudo leaf
decorate||decorate.v.01	illuminate||illuminate.v.03	pseudo leaf
jump||jump.v.08	arrive||arrive.v.01	pseudo leaf
weld||weld.v.01	splice||splice.v.04	pseudo leaf
rabbet||rabbet.v.02	cut||cut.v.01	incise||incise.v.01
perk_up||perk_up.v.01	better||better.v.03	pseudo leaf
roughcast||roughcast.v.02	shave||shave.v.01	pseudo leaf
receive||receive.v.05	pseudo root	claim||claim.v.01
show||show.v.10	read||read.v.08	pseudo leaf
flash||flash.v.04	express||express.v.02	pseudo leaf
bream||bream.v.01	shave||shave.v.06	pseudo leaf
tin||tin.v.03	coat||coat.v.01	pseudo leaf
nest||nest.v.04	gather||gather.v.01	pseudo leaf
stretch||stretch.v.02	pseudo root	swan||swan.v.03
agree||agree.v.02	agree||agree.v.01	see_eye_to_eye||see_eye_to_eye.v.01
anneal||anneal.v.01	change||change.v.01	pseudo leaf
read||read.v.04	register||register.v.01	pseudo leaf
draw||draw.v.04	create_by_mental_act||create_by_mental_act.v.01	pseudo leaf
grow||grow.v.04	develop||develop.v.12	pseudo leaf
play||play.v.06	act||act.v.03	pseudo leaf
fix||fix.v.12	attach||attach.v.01	pseudo leaf
ice_up||ice_up.v.01	stain||stain.v.02	pseudo leaf
stumble||stumble.v.03	pseudo root	pseudo leaf
foul_out||foul_out.v.01	hit||hit.v.01	pseudo leaf
presume||presume.v.04	wrong||wrong.v.01	pseudo leaf
set||set.v.05	make||make.v.02	pseudo leaf
sieve||sieve.v.02	calculate||calculate.v.01	pseudo leaf
deliver||deliver.v.02	bring||bring.v.01	pseudo leaf
dispatch||dispatch.v.05	kill||kill.v.01	pseudo leaf
point||point.v.09	write||write.v.02	pseudo leaf
visit||visit.v.08	assail||assail.v.01	pseudo leaf
backfire||backfire.v.02	ignite||ignite.v.01	pseudo leaf
betray||betray.v.01	unwrap||unwrap.v.02	pseudo leaf
derate||derate.v.01	better||better.v.02	pseudo leaf
clarion||clarion.v.01	blow||blow.v.02	pseudo leaf
decouple||decouple.v.02	denote||denote.v.02	pseudo leaf
fulminate||fulminate.v.03	break||break.v.02	pseudo leaf
have||have.v.02	pseudo root	pseudo leaf
lexicalize||lexicalize.v.01	design||design.v.04	pseudo leaf
hoax||hoax.v.01	deceive||deceive.v.02	pseudo leaf
nobble||nobble.v.04	disable||disable.v.01	pseudo leaf
