Query	Parent	Child
pickled capers	pickled cucumber	pseudo leaf
veal shoulder	vegetable	pseudo leaf
gin	alcoholic beverage	pseudo leaf
dark soy sauce	citrus soft drink	pseudo leaf
curry powder	food powder	pseudo leaf
hemp milk	meat dish	pseudo leaf
sea salt	table salt	pseudo leaf
olive juice	juice	pseudo leaf
pepperoni	pasta	pseudo leaf
frozen dessert	table salt	pseudo leaf
stimulant foodstuff	vegetable	pseudo leaf
palm sugar	vegetable	pseudo leaf
suet	vegetable	pseudo leaf
tagliolini	pasta	pseudo leaf
fermented milk products other than sour cream and cottage cheese	soft drink	grapefruit soda
wheat flakes	wheat flour	pseudo leaf
barley	grain	canned corn
french onion soup	soup	pseudo leaf
ground beef	food	pseudo leaf
coconut liqueur	liqueur	pseudo leaf
lamb broth	broth	pseudo leaf
parsnip	vegetable	pseudo leaf
shirataki noodles	vegetable	pseudo leaf
quail eggs	condiment	pseudo leaf
cucumber juice	juice	pseudo leaf
sesame oil	cooking oil	pseudo leaf
strawberry	vegetable	pseudo leaf
hamburger	vegetable	pseudo leaf
fresh cheese	cheese	pseudo leaf
instant mashed potatoes	food ingredient	pseudo leaf
confection	chocolate and sugar confectionery	caramel
rapeseed oil	cooking oil	pseudo leaf
bottled water	food	pseudo leaf
offal	vegetable	pseudo leaf
meringue	vegetable	pseudo leaf
mustard	vegetable	pseudo leaf
marmalade	sweet dish	pseudo leaf
cornbread	bread	pseudo leaf
turkey heart	poultry	pseudo leaf
cracklings	alcoholic beverage	pseudo leaf
lean meat	vegetable	pseudo leaf
salt pork	food ingredient	pseudo leaf
pork belly	pork dish	pseudo leaf
dessert with spoon	food	pseudo leaf
ginger beer	food ingredient	pseudo leaf
beef liver	meat	pseudo leaf
cottage cheese	cheese	pseudo leaf
mixed nuts	food ingredient	pseudo leaf
home fries	vegetable	pseudo leaf
alfalfa sprouts	vegetable	pseudo leaf
layer cake	dessert	pseudo leaf
grape leaves	juice	pseudo leaf
rice	food	pseudo leaf
canned pineapple	juice	pseudo leaf
hot mustard	hot beverage	pseudo leaf
double cream	ice cream	pseudo leaf
roux	vegetable	pseudo leaf
apricot marmalade	condiment	pseudo leaf
apple cider	soft drink	pseudo leaf
grape soda	condiment	pseudo leaf
popcorn	vegetable	pseudo leaf
truffle	poultry	pseudo leaf
sandwich	pasta	pseudo leaf
buckwheat noodles	pasta	pseudo leaf
garam masala	maize	pseudo leaf
bakers yeast	baked good	pseudo leaf
textured vegetable protein	vegetable	pseudo leaf
elderflower cordial	vegetable	pseudo leaf
potato salad	potato dish	pseudo leaf
peach jam	jam	pseudo leaf
tenderloin	sweet dish	pseudo leaf
milk substitute	vegetable	pseudo leaf
kidney bean	liver	pseudo leaf
nonpareils	food	pseudo leaf
raspberry juice	juice	pseudo leaf
asparagus	vegetable	pseudo leaf
garlic paste	vegetable	pseudo leaf
meat product	food	pseudo leaf
hazelnut butter	food ingredient	pseudo leaf
paprika	food ingredient	pseudo leaf
pink grapefruit juice	juice	pseudo leaf
spiced rum	alcoholic beverage	pseudo leaf
almond butter	vegetable	pseudo leaf
iced tea	pasta	pseudo leaf
garlic salt	table salt	pseudo leaf
fruit jam	jam	pseudo leaf
cayenne pepper	vegetable	pseudo leaf
liverwurst	liver	pseudo leaf
pork stock	stock	pseudo leaf
sangria	vegetable	pseudo leaf
fennel bulb	vegetable	pseudo leaf
capellini	pasta	pseudo leaf
fruit dish	food	fruit preserves
drinking water	food	pseudo leaf
