Query	Parent	Child
celery_greens	cold cuts@@@1596	leaf
salmon_trout	food@@@938	leaf
white_mushroom	hard cheese@@@371	leaf
baking_decorations	chocolates@@@1026	leaf
elderflower_umbel	brsmeli@@@296	leaf
mozzarella_stick	food@@@938	leaf
muffin_baking_mix	dairy products dairy substitute products@@@110	leaf
smoked_raclette_cheese	sweet baked goods@@@1143	leaf
sour_gummy_candy	soft drinks@@@599	leaf
lambs_lettuce	soft candies@@@489	sugus@@@642
fondants_icing	berries@@@1771	pineapple strawberry@@@1914
albeli	cabbage@@@1069	cooked red cabbage@@@1742
caramel_liqueur	chocolates@@@1026	leaf
cake_decorating_pen	veal@@@903	veal roast@@@325
sweet_potato	tubers@@@592	leaf
lemongrass	herbs spices@@@610	leaf
frozen_spinach	cottage cheese@@@732	leaf
cheese_skewers	food@@@938	leaf
cream	ice cream sorbet@@@1549	leaf
okra	brsmeli@@@296	leaf
sweet_chili_sauce	chocolates@@@1026	leaf
stone_fruits	food@@@938	leaf
fennel	root vegetables@@@78	leaf
canned_mushrooms_marinated_in_oil	alcoholic beverages@@@1642	leaf
cacao_nibs	chocolates@@@1026	leaf
pea_sprouts	caramel@@@1832	soft caramel@@@845
grischuna_minipic	flatfish@@@548	turbot@@@989
greek_yogurt_with_honey	hard cheese@@@371	leaf
beer	flatfish@@@548	brill fillet@@@768
corn_fed_chicken_breast	gitzikse@@@185	leaf
apple_wine	broth powder cubes@@@334	meat broth powder@@@332
licorice_root	soft drinks@@@599	leaf
mettwurst	food@@@938	rice syrup@@@1795
whole_grain_pasta	hard cheese@@@371	leaf
vanilla_flavor	food@@@938	leaf
veal_cutlets_from_the_nut	food@@@938	dried coconut meat@@@504
almond_cookies	cookies@@@1319	leaf
goose_meat	dairy products dairy substitute products@@@110	leaf
beer_radish	hard cheese@@@371	leaf
fresh_parsley	soft cheese@@@1503	leaf
thai_jasmine_rice	allium@@@40	garlic clove@@@659
sugar	food@@@938	leaf
dlicorn_minced	meat meat substitute products@@@1432	leaf
frozen_pomme_duchesse	food@@@938	horseradish mustard@@@1897
red_leaf_lettuce	leafy vegetables@@@667	leaf
herb_mustard	chocolates@@@1026	leaf
veal_liver	food@@@938	leaf
brook_trout	hard cheese@@@371	leaf
amaretti	baking decorations@@@37	leaf
frozen_berry_mix	semi hard cheese@@@1732	leaf
cream_quark	herbs spices@@@610	rice vinegar@@@526
gin	spirits@@@1322	leaf
apricot_ice_cream	food@@@938	leaf
flatfish	fish seafood@@@1883	leaf
chia_seeds	crustaceans@@@911	cooked shrimp@@@1854
veal_sausage	meat meat substitute products@@@1432	leaf
azuki_bean_paste	nuts seeds@@@1966	dried coconut meat@@@504
heart_cherry	chocolates@@@1026	leaf
colored_fondant	flatfish@@@548	turbot@@@989
garlic_clove	meat meat substitute products@@@1432	leaf
nut_seed_mixes	dairy products dairy substitute products@@@110	leaf
dry_vermouth	soft drinks@@@599	leaf
strawberry_jam	soft cheese@@@1503	leaf
creole_rice	alcoholic beverages@@@1642	leaf
chili_raclette_cheese	soft cheese@@@1503	leaf
veal_feet	cold cuts@@@1596	leaf
wild_broth	soft drinks@@@599	leaf
ham	aperol@@@842	leaf
beef_sirloin_steak	herbs spices@@@610	coriander seeds@@@1848
coop_jam_sugar	seasoning@@@727	sweet chili sauce@@@231
poppy	seeds@@@1639	leaf
pickled_pepper	hard cheese@@@371	leaf
fleur_de_sel	seasoning@@@727	sweet chili sauce@@@231
lumpfish_roe	food@@@938	asparagus bean@@@1123
fruit_liqueur	flatfish@@@548	brill fillet@@@768
kernel_roll	chocolates@@@1026	leaf
dried_rosemary	baking decorations@@@37	leaf
black_lentils_from_the_can	hard cheese@@@371	leaf
guetzli	food@@@938	dried coconut meat@@@504
t_bone_steak	cold cuts@@@1596	leaf
flaxseed	plant based oils@@@1469	leaf
betty_bossi_shanghai_asian_wok_mix	other baked goods@@@1052	leaf
green_tabasco	chocolates@@@1026	leaf
dark_bread	dairy products dairy substitute products@@@110	leaf
fondue_cheese_mix_moiti_moiti	hard cheese@@@371	leaf
floury_boiled_potatoes	dairy products dairy substitute products@@@110	leaf
plum_yogurt	soft drinks@@@599	leaf
passion_fruit_juice	alcoholic beverages@@@1642	leaf
non_alcoholic_beer_apple_wine	chocolates@@@1026	leaf
clear_apple_juice	veal@@@903	veal stew@@@493
bell_minced_meatballs	dairy products dairy substitute products@@@110	leaf
chickpea_flour	food@@@938	leaf
frozen_green_pea	thickening agent@@@1373	leaf
early_potato	chocolates@@@1026	leaf
romanesco	leafy vegetables@@@667	leaf
ovomaltine_noir_chocolate	soft drinks@@@599	leaf
other_oily_saltwater_fish	seasoning@@@727	sweet chili sauce@@@231
grissini	bread baked goods@@@209	leaf
tapenade	seasoning@@@727	leaf
piadina	other baked goods@@@1052	leaf
pearl_sugar	seasoning@@@727	sweet chili sauce@@@231
iceberg_lettuce	food@@@938	peach syrup@@@1355
cailler_cuisine_cocoa_powder	chocolates@@@1026	leaf
psyllium_husks	food@@@938	tomato tapenade@@@1561
dry_sparkling_wine	nuts seeds@@@1966	dried coconut meat@@@504
nutmeg_pumpkin	chocolates@@@1026	leaf
guinea_fowl_meat	thickening agent@@@1373	leaf
red_grape	cabbage@@@1069	wirz@@@792
sesame_oil	hard cheese@@@371	leaf
calvados	spirits@@@1322	leaf
hazelnut_spread	hard cheese@@@371	leaf
spelt_cake_dough	flour@@@1904	leaf
almond_mush	sour dairy products@@@1356	leaf
cornbread	brsmeli@@@296	leaf
salted_cashew_nut	hard cheese@@@371	leaf
tuna	aperol@@@842	leaf
white_toblerone	cookies@@@1319	leaf
gingerbread_dough	hard cheese@@@371	leaf
fermented_seasonings	thickening agent@@@1373	leaf
hawaii_salt	stone fruits@@@241	leaf
cotton_candy	seasoning@@@727	horseradish mustard@@@1897
beef_burger	liqueur@@@1262	fruit liqueur@@@776
tapioca_starch	soft drinks@@@599	leaf
frozen_broccoli	semi hard cheese@@@1732	leaf
candied_peel	fish seafood@@@1883	cooked giant shrimp@@@368
vanilla_sugar	food@@@938	leaf
wine	rolled grain@@@1014	millet flakes@@@973
plum_brandy	nuts seeds@@@1966	dried coconut meat@@@504
medium_hot_mustard	nut seed mixes@@@666	asian rice and nut snack@@@950
