Query	Parent	Child
spoonfeed||spoonfeed.v.02	teach||teach.v.01	pseudo leaf
walk||walk.v.06	pseudo root	pseudo leaf
set||set.v.05	put||put.v.01	pseudo leaf
look||look.v.09	pseudo root	pseudo leaf
charge||charge.v.17	direct||direct.v.01	pseudo leaf
decorate||decorate.v.01	change||change.v.01	embrown||embrown.v.02
jump||jump.v.08	descend||descend.v.01	pseudo leaf
weld||weld.v.01	join||join.v.02	pseudo leaf
rabbet||rabbet.v.02	incise||incise.v.01	pseudo leaf
perk_up||perk_up.v.01	gain||gain.v.08	pseudo leaf
roughcast||roughcast.v.02	change||change.v.01	pseudo leaf
receive||receive.v.05	promise||promise.v.01	pseudo leaf
show||show.v.10	pseudo root	pseudo leaf
flash||flash.v.04	appear||appear.v.02	pseudo leaf
bream||bream.v.01	wash||wash.v.02	pseudo leaf
tin||tin.v.03	change||change.v.01	pseudo leaf
nest||nest.v.04	gather||gather.v.01	pseudo leaf
stretch||stretch.v.02	pseudo root	pseudo leaf
agree||agree.v.02	pseudo root	pseudo leaf
anneal||anneal.v.01	harden||harden.v.01	pseudo leaf
read||read.v.04	obtain||obtain.v.01	pseudo leaf
draw||draw.v.04	derive||derive.v.04	pseudo leaf
grow||grow.v.04	develop||develop.v.03	pseudo leaf
play||play.v.06	pseudo root	pseudo leaf
fix||fix.v.12	change||change.v.01	pseudo leaf
ice_up||ice_up.v.01	change_surface||change_surface.v.01	pseudo leaf
stumble||stumble.v.03	pseudo root	pseudo leaf
foul_out||foul_out.v.01	hit||hit.v.01	pseudo leaf
presume||presume.v.04	act||act.v.01	pseudo leaf
set||set.v.05	put||put.v.01	pseudo leaf
sieve||sieve.v.02	check||check.v.02	pseudo leaf
deliver||deliver.v.02	bring||bring.v.01	pseudo leaf
dispatch||dispatch.v.05	kill||kill.v.01	pseudo leaf
point||point.v.09	mark||mark.v.02	pseudo leaf
visit||visit.v.08	assail||assail.v.01	pseudo leaf
backfire||backfire.v.02	emit||emit.v.01	pseudo leaf
betray||betray.v.01	pseudo root	pseudo leaf
derate||derate.v.01	reduce||reduce.v.01	pseudo leaf
clarion||clarion.v.01	blast||blast.v.04	pseudo leaf
decouple||decouple.v.02	regard||regard.v.02	pseudo leaf
fulminate||fulminate.v.03	explode||explode.v.01	pseudo leaf
have||have.v.02	pseudo root	pseudo leaf
lexicalize||lexicalize.v.01	change||change.v.01	pseudo leaf
hoax||hoax.v.01	mock||mock.v.01	pseudo leaf
nobble||nobble.v.04	disable||disable.v.01	pseudo leaf
tape||tape.v.01	fasten||fasten.v.01	pseudo leaf
affect||affect.v.01	change||change.v.01	influence||influence.v.01
