Query	Parent	Child
celery greens	vegetable herb	pseudo leaf
salmon trout	turkey meat	pseudo leaf
white mushroom	mushrooms	pseudo leaf
baking decorations	food	aronia berry powder
elderflower umbel	nut butter	pseudo leaf
mozzarella stick	prepared pastry	pseudo leaf
muffin baking mix	flowers blossoms	pseudo leaf
smoked raclette cheese	cakes	pseudo leaf
sour gummy candy	soft candies	pseudo leaf
lambs lettuce	lamb meat	pseudo leaf
fondants icing	prepared ingredients	pseudo leaf
albeli	leafy vegetables	pseudo leaf
caramel liqueur	liqueur	pseudo leaf
cake decorating pen	prepared ingredients	pseudo leaf
sweet potato	blue cheese	pseudo leaf
lemongrass	fruit compotes pastes	pseudo leaf
frozen spinach	tea coffee	pseudo leaf
cheese skewers	semi hard cheese	pseudo leaf
cream	breakfast flakes	pseudo leaf
okra	cream cheese	pseudo leaf
sweet chili sauce	flour	pseudo leaf
stone fruits	food	pseudo leaf
fennel	basic sauces	pseudo leaf
canned mushrooms marinated in oil	plant based oils	pseudo leaf
cacao nibs	leafy vegetables	pseudo leaf
pea sprouts	sprouts seedlings	pseudo leaf
grischuna minipic	ground spices	pseudo leaf
greek yogurt with honey	cruciferous	pseudo leaf
beer	leafy vegetables	pseudo leaf
corn fed chicken breast	chicken meat	pseudo leaf
apple wine	non alcoholic beverages	pseudo leaf
licorice root	ground spices	pseudo leaf
mettwurst	liqueur wine	pseudo leaf
whole grain pasta	prepared pastry	pseudo leaf
vanilla flavor	instant powders	pseudo leaf
veal cutlets from the nut	veal	pseudo leaf
almond cookies	bread	pseudo leaf
goose meat	cereal	pseudo leaf
beer radish	chocolates	pseudo leaf
fresh parsley	herbs spices	pseudo leaf
thai jasmine rice	cereal	pseudo leaf
sugar	ground spices	pseudo leaf
dlicorn minced	ground meat	pseudo leaf
frozen pomme duchesse	plant based milk product alternatives	pseudo leaf
red leaf lettuce	seasoning	pseudo leaf
herb mustard	cold cuts	pseudo leaf
veal liver	veal	pseudo leaf
brook trout	sprouts seedlings	pseudo leaf
amaretti	cream cheese	pseudo leaf
frozen berry mix	soft candies	pseudo leaf
cream quark	yogurts quarks	pseudo leaf
gin	bread	pseudo leaf
apricot ice cream	food	pseudo leaf
flatfish	liqueur wine	pseudo leaf
