Query	Parent	Child
stinger	cocktail	pseudo leaf
papaya juice	fruit juice	pseudo leaf
buffalo wing	dish	pseudo leaf
clary sage	sage	pseudo leaf
cinnamon toast	toast	pseudo leaf
malmsey	wine	pseudo leaf
taco sauce	sauce	pseudo leaf
pulque	beverage	pseudo leaf
chicken soup	soup	pseudo leaf
chili sauce	sauce	pseudo leaf
milk	beverage	cows' milk
emmenthal	swiss cheese	pseudo leaf
sparkling wine	wine	pseudo leaf
sweetening	flavorer	pseudo leaf
drambuie	liqueur	pseudo leaf
munich beer	lager	pseudo leaf
scone	baking powder biscuit	pseudo leaf
brandy	beverage	pseudo leaf
fried rice	dish	pseudo leaf
fish cake	dish	pseudo leaf
fad diet	reducing diet	pseudo leaf
high protein diet	diet	pseudo leaf
side dish	dish	pseudo leaf
biryani	dish	pseudo leaf
loblolly	gruel	pseudo leaf
neutral spirits	liqueur	pseudo leaf
neapolitan ice cream	ice cream	pseudo leaf
hotchpotch	dish	pseudo leaf
cup	beverage	champagne cup
beef stroganoff	dish	pseudo leaf
boston baked beans	dish	pseudo leaf
bun	quick bread	pseudo leaf
hard boiled egg	boiled egg	pseudo leaf
mulligatawny	soup	pseudo leaf
black bread	white bread	pseudo leaf
confectionery	candy	pseudo leaf
powdered milk	dairy product	pseudo leaf
bourbon	whiskey	pseudo leaf
cheese	dairy product	rat cheese
moselle	wine	pseudo leaf
french fries	dish	pseudo leaf
bread sauce	sauce	pseudo leaf
catsup	sauce	pseudo leaf
caesar salad	dish	pseudo leaf
choice morsel	foodstuff	pseudo leaf
creme brulee	candy	pseudo leaf
pepperoni pizza	pizza	pseudo leaf
stuffed peppers	dish	pseudo leaf
sugarplum	candy	pseudo leaf
suds	condiment	pseudo leaf
claret	dairy product	pseudo leaf
treacle	syrup	pseudo leaf
soave	wine	pseudo leaf
gravy	sauce	pseudo leaf
saute	dish	pseudo leaf
bordelaise	sauce	pseudo leaf
bubble and squeak	dish	pseudo leaf
burgoo	porridge	pseudo leaf
limpa	quick bread	pseudo leaf
macon	liquor	pseudo leaf
julep	candy	pseudo leaf
honey crisp	candy	pseudo leaf
bean dip	dip	pseudo leaf
sour bread	quick bread	pseudo leaf
newburg sauce	sauce	pseudo leaf
cheese souffle	dish	pseudo leaf
demerara	sugar	pseudo leaf
barbecue sauce	sauce	pseudo leaf
tequila	liquor	pseudo leaf
buttermilk	dairy product	pseudo leaf
open face sandwich	sandwich	pseudo leaf
culture medium	foodstuff	pseudo leaf
mixed drink	beverage	pseudo leaf
mushy peas	dish	pseudo leaf
ravigote	sauce	pseudo leaf
fodder	fare	pseudo leaf
old fashioned	cocktail	pseudo leaf
limburger	dairy product	pseudo leaf
aioli	sauce	pseudo leaf
parfait	dessert	pseudo leaf
stock cube	starches	pseudo leaf
tamale	dairy product	pseudo leaf
salad	dish	green salad
goats' milk	dairy product	pseudo leaf
puff paste	flour	pseudo leaf
vitamin b12	fat soluble vitamin	pseudo leaf
shrimp newburg	dish	pseudo leaf
congou	herb tea	pseudo leaf
vitamin k3	fat soluble vitamin	pseudo leaf
ginger ale	beverage	pseudo leaf
near beer	beer	pseudo leaf
whole wheat flour	flour	pseudo leaf
flip	course	pseudo leaf
philter	beverage	pseudo leaf
baked alaska	quick bread	pseudo leaf
chocolate mousse	mousse	pseudo leaf
spaghetti	dish	pseudo leaf
barbecued spareribs	dish	pseudo leaf
whole milk	dairy product	pseudo leaf
salmi	dish	pseudo leaf
gazpacho	soup	pseudo leaf
bulgur	dairy product	pseudo leaf
banquet	meal	pseudo leaf
egg roll	dish	pseudo leaf
custard	dish	fruit custard
horehound	herb	pseudo leaf
life saver	candy	pseudo leaf
eau de vie	liquor	pseudo leaf
tapioca pudding	pudding	pseudo leaf
marshmallow	candy	pseudo leaf
olive	condiment	green olive
generic	wine	pseudo leaf
veal parmesan	dish	pseudo leaf
frozen dessert	dessert	pseudo leaf
blood meal	meal	pseudo leaf
chili powder	flavorer	pseudo leaf
brunch	meal	pseudo leaf
cocktail sauce	sauce	pseudo leaf
shrimp butter	spread	pseudo leaf
cane sugar	sugar	pseudo leaf
dough	concoction	bread dough
soya milk	dairy product	pseudo leaf
proof spirit	beverage	pseudo leaf
marjoram	herb	pseudo leaf
brew	beverage	pseudo leaf
tom and jerry	dish	pseudo leaf
sack	starches	pseudo leaf
rosemary	herb	pseudo leaf
tipsy cake	dessert	pseudo leaf
stuffed tomato	dish	pseudo leaf
juniper berries	herb	pseudo leaf
light diet	diet	pseudo leaf
inositol	b complex vitamin	pseudo leaf
hotdog	beverage	pseudo leaf
castor sugar	granulated sugar	pseudo leaf
rhone wine	wine	pseudo leaf
cheese spread	spread	pseudo leaf
weizenbier	beer	pseudo leaf
pastis	dish	pseudo leaf
whip	dessert	prune whip
horseradish	herb	pseudo leaf
simnel	white bread	pseudo leaf
water biscuit	baking powder biscuit	pseudo leaf
frankfurter bun	starches	pseudo leaf
yorkshire pudding	pudding	pseudo leaf
saccharin	flavorer	pseudo leaf
darjeeling	herb tea	pseudo leaf
center	condiment	pseudo leaf
