Query	Parent	Child
pickled capers	pasta	pseudo leaf
veal shoulder	baked good	pseudo leaf
gin	food ingredient	pseudo leaf
dark soy sauce	soy food	pseudo leaf
curry powder	pudding	pseudo leaf
hemp milk	pasta	pseudo leaf
sea salt	food ingredient	pseudo leaf
olive juice	juice	pseudo leaf
pepperoni	baked good	pseudo leaf
frozen dessert	grain	pseudo leaf
stimulant foodstuff	food ingredient	pseudo leaf
palm sugar	sugar product	pseudo leaf
suet	baked good	pseudo leaf
tagliolini	pasta	pseudo leaf
fermented milk products other than sour cream and cottage cheese	vegetables and gourds except potatoes	pseudo leaf
wheat flakes	parivyaya	pseudo leaf
barley	sweet dish	pseudo leaf
french onion soup	chicken meat	pseudo leaf
ground beef	meat dish	pseudo leaf
coconut liqueur	liqueur	pseudo leaf
lamb broth	food powder	pseudo leaf
parsnip	condiment	pseudo leaf
shirataki noodles	meat dish	pseudo leaf
quail eggs	vegetable	pseudo leaf
cucumber juice	juice	pseudo leaf
sesame oil	cooking oil	pseudo leaf
strawberry	food ingredient	pseudo leaf
hamburger	sweet dish	pseudo leaf
fresh cheese	cheese	pseudo leaf
instant mashed potatoes	porridge	pseudo leaf
confection	grain	pseudo leaf
rapeseed oil	vegetable oil	pseudo leaf
bottled water	seed	pseudo leaf
offal	meat	pseudo leaf
meringue	food ingredient	pseudo leaf
mustard	baked good	pseudo leaf
marmalade	vegetable	pseudo leaf
cornbread	sweet bread	pseudo leaf
turkey heart	food ingredient	pseudo leaf
cracklings	porridge	pseudo leaf
lean meat	mutton	pseudo leaf
salt pork	salad	pseudo leaf
pork belly	chicken meat	pseudo leaf
dessert with spoon	food additive	pseudo leaf
ginger beer	vegetable	pseudo leaf
beef liver	cereal	pseudo leaf
cottage cheese	cheese	pseudo leaf
mixed nuts	food ingredient	pseudo leaf
home fries	meat dish	pseudo leaf
alfalfa sprouts	vegetable	pseudo leaf
layer cake	food ingredient	pseudo leaf
grape leaves	food ingredient	pseudo leaf
rice	drink	pseudo leaf
canned pineapple	pasta	pseudo leaf
hot mustard	dessert	pseudo leaf
double cream	seed	pseudo leaf
roux	food ingredient	pseudo leaf
apricot marmalade	alcoholic beverage	pseudo leaf
apple cider	condiment	pseudo leaf
grape soda	salad	pseudo leaf
popcorn	food ingredient	pseudo leaf
truffle	baked good	pseudo leaf
sandwich	food ingredient	pseudo leaf
buckwheat noodles	alcoholic beverage	pseudo leaf
garam masala	condiment	pseudo leaf
bakers yeast	confit	pseudo leaf
textured vegetable protein	pasta	pseudo leaf
elderflower cordial	soft drink	pseudo leaf
potato salad	salad	pseudo leaf
peach jam	jam	pseudo leaf
tenderloin	cream soup	pseudo leaf
milk substitute	seed	pseudo leaf
kidney bean	dessert	pseudo leaf
nonpareils	confit	pseudo leaf
raspberry juice	juice	pseudo leaf
asparagus	baked good	pseudo leaf
garlic paste	pasta	pseudo leaf
meat product	meat dish	pseudo leaf
hazelnut butter	food ingredient	pseudo leaf
paprika	food ingredient	pseudo leaf
pink grapefruit juice	juice	pseudo leaf
spiced rum	vegetable	pseudo leaf
almond butter	food ingredient	pseudo leaf
iced tea	liquor	pseudo leaf
garlic salt	food ingredient	pseudo leaf
fruit jam	jam	pseudo leaf
cayenne pepper	pasta	pseudo leaf
liverwurst	poultry	pseudo leaf
pork stock	pudding	pseudo leaf
sangria	baked good	pseudo leaf
fennel bulb	pasta	pseudo leaf
capellini	food ingredient	pseudo leaf
fruit dish	soy product	light soy sauce
drinking water	spirit drink	pseudo leaf
