Query	Parent	Child
hack||hack.v.08	root	revitalize||revitalize.v.02@@@752
expectorate||expectorate.v.02	fasten||fasten.v.01@@@6615	anchor||anchor.v.01@@@6427
yawn||yawn.v.01	root	grow||grow.v.08@@@465
presume||presume.v.04	root	cloud||cloud.v.08@@@1913
nap||nap.v.01	decide||decide.v.01@@@3418	ballot||ballot.v.01@@@12256
bed_down||bed_down.v.01	gamble||gamble.v.02@@@5524	underplay||underplay.v.02@@@5530
perk_up||perk_up.v.01	wrong||wrong.v.01@@@12504	bilk||bilk.v.01@@@12773
stretch||stretch.v.02	move||move.v.03@@@9108	riposte||riposte.v.01@@@10279
exsert||exsert.v.01	move||move.v.03@@@9108	riposte||riposte.v.01@@@10279
giggle||giggle.v.01	get_rid_of||get_rid_of.v.01@@@11087	unlearn||unlearn.v.02@@@2974
groom||groom.v.03	arrange||arrange.v.01@@@7263	chain||chain.v.01@@@7265
barber||barber.v.01	move||move.v.03@@@9108	riposte||riposte.v.01@@@10279
spruce_up||spruce_up.v.02	provide||provide.v.02@@@5754	crew||crew.v.01@@@5264
overdress||overdress.v.02	root	retool||retool.v.02@@@11651
spat||spat.v.06	chase||chase.v.01@@@9969	hound||hound.v.01@@@9976
foal||foal.v.01	process||process.v.01@@@2515	malt||malt.v.01@@@862
litter||litter.v.03	worsen||worsen.v.01@@@965	regress||regress.v.03@@@1186
face-lift||face-lift.v.01	root	restrain||restrain.v.04@@@6405
transpire||transpire.v.05	touch||touch.v.01@@@5876	urticate||urticate.v.01@@@10582
concuss||concuss.v.02	interact||interact.v.01@@@11865	flag||flag.v.01@@@4994
excrete||excrete.v.01	root	ascend||ascend.v.04@@@10515
evacuate||evacuate.v.05	preserve||preserve.v.04@@@1003	pickle||pickle.v.01@@@1006
manipulate||manipulate.v.06	jiggle||jiggle.v.01@@@9430	wag||wag.v.01@@@9431
strap||strap.v.04	fasten||fasten.v.02@@@6633	stick||stick.v.09@@@8052
canker||canker.v.02	injure||injure.v.01@@@347	hamstring||hamstring.v.02@@@452
subluxate||subluxate.v.01	root	go||go.v.22@@@13380
recuperate||recuperate.v.03	shout||shout.v.01@@@4398	yell||yell.v.02@@@4399
spring||spring.v.04	root	test||test.v.04@@@13624
leaf||leaf.v.03	root	immobilize||immobilize.v.06@@@1287
rejuvenate||rejuvenate.v.05	put||put.v.01@@@7419	address||address.v.04@@@5600
regenerate||regenerate.v.08	transfer||transfer.v.04@@@10022	translocate||translocate.v.01@@@11786
scab||scab.v.01	change_shape||change_shape.v.01@@@643	bulk||bulk.v.01@@@1256
skin_over||skin_over.v.01	transfer||transfer.v.05@@@11069	luxuriate||luxuriate.v.01@@@5870
pale||pale.v.01	effect||effect.v.01@@@8176	precipitate||precipitate.v.01@@@8182
feel||feel.v.04	fasten||fasten.v.01@@@6615	string||string.v.05@@@6722
jaundice||jaundice.v.02	change||change.v.01@@@611	bomb_up||bomb_up.v.01@@@7385
fracture||fracture.v.05	rest||rest.v.01@@@7683	leaf
continue||continue.v.10	interact||interact.v.01@@@11865	congregate||congregate.v.01@@@10080
dedifferentiate||dedifferentiate.v.01	reproduce||reproduce.v.01@@@8644	duplicate||duplicate.v.01@@@8633
mutate||mutate.v.01	change||change.v.01@@@611	recopy||recopy.v.01@@@8442
revolutionize||revolutionize.v.01	root	test||test.v.04@@@13624
demythologize||demythologize.v.01	predict||predict.v.01@@@4424	bet||bet.v.01@@@4427
affect||affect.v.01	effect||effect.v.01@@@8176	consummate||consummate.v.01@@@8170
tie||tie.v.05	fasten||fasten.v.01@@@6615	staple||staple.v.01@@@6763
draw||draw.v.35	touch||touch.v.01@@@5876	rap||rap.v.01@@@7020
form||form.v.07	categorize||categorize.v.01@@@3235	batch||batch.v.01@@@6864
square||square.v.01	equal||equal.v.01@@@13211	answer||answer.v.08@@@13178
become||become.v.01	dive||dive.v.01@@@9791	nosedive||nosedive.v.01@@@9792
augment||augment.v.02	change_state||change_state.v.01@@@672	federate||federate.v.01@@@1803
dissimilate||dissimilate.v.02	root	retool||retool.v.02@@@11651
rectify||rectify.v.06	effect||effect.v.01@@@8176	precipitate||precipitate.v.01@@@8182
revitalize||revitalize.v.02	reproduce||reproduce.v.01@@@8644	duplicate||duplicate.v.01@@@8633
devitalize||devitalize.v.01	process||process.v.01@@@2515	creosote||creosote.v.01@@@864
update||update.v.01	sell||sell.v.01@@@11175	sacrifice||sacrifice.v.03@@@11682
