Query	Parent	Child
hack||hack.v.08	remove||remove.v.01@@@799	leaf
expectorate||expectorate.v.02	sound||sound.v.03@@@10649	leaf
yawn||yawn.v.01	intrude||intrude.v.03@@@10823	leaf
presume||presume.v.04	change||change.v.01@@@611	leaf
nap||nap.v.01	root	leaf
bed_down||bed_down.v.01	change||change.v.01@@@611	leaf
perk_up||perk_up.v.01	root	leaf
stretch||stretch.v.02	contend||contend.v.01@@@3701	leaf
exsert||exsert.v.01	root	leaf
giggle||giggle.v.01	change||change.v.01@@@611	leaf
groom||groom.v.03	contend||contend.v.01@@@3701	leaf
barber||barber.v.01	contend||contend.v.01@@@3701	leaf
spruce_up||spruce_up.v.02	utter||utter.v.02@@@4727	leaf
overdress||overdress.v.02	change||change.v.02@@@547	leaf
spat||spat.v.06	contend||contend.v.01@@@3701	leaf
foal||foal.v.01	contend||contend.v.01@@@3701	leaf
litter||litter.v.03	intrude||intrude.v.03@@@10823	leaf
face-lift||face-lift.v.01	root	leaf
transpire||transpire.v.05	change||change.v.01@@@611	leaf
concuss||concuss.v.02	contend||contend.v.01@@@3701	leaf
excrete||excrete.v.01	change||change.v.01@@@611	leaf
evacuate||evacuate.v.05	contend||contend.v.01@@@3701	leaf
manipulate||manipulate.v.06	change||change.v.02@@@547	leaf
strap||strap.v.04	contend||contend.v.01@@@3701	leaf
canker||canker.v.02	change||change.v.01@@@611	leaf
subluxate||subluxate.v.01	change||change.v.02@@@547	leaf
recuperate||recuperate.v.03	change||change.v.02@@@547	leaf
spring||spring.v.04	remove||remove.v.01@@@799	leaf
leaf||leaf.v.03	remove||remove.v.01@@@799	leaf
rejuvenate||rejuvenate.v.05	root	leaf
regenerate||regenerate.v.08	change||change.v.02@@@547	leaf
scab||scab.v.01	change||change.v.02@@@547	leaf
skin_over||skin_over.v.01	change||change.v.01@@@611	leaf
pale||pale.v.01	shape||shape.v.02@@@8252	leaf
feel||feel.v.04	utter||utter.v.02@@@4727	leaf
jaundice||jaundice.v.02	sound||sound.v.01@@@10648	leaf
fracture||fracture.v.05	root	leaf
continue||continue.v.10	shape||shape.v.02@@@8252	leaf
dedifferentiate||dedifferentiate.v.01	shape||shape.v.02@@@8252	leaf
mutate||mutate.v.01	change||change.v.01@@@611	leaf
revolutionize||revolutionize.v.01	root	leaf
demythologize||demythologize.v.01	contend||contend.v.01@@@3701	leaf
affect||affect.v.01	change||change.v.01@@@611	leaf
tie||tie.v.05	contend||contend.v.01@@@3701	leaf
draw||draw.v.35	contend||contend.v.01@@@3701	leaf
form||form.v.07	contend||contend.v.01@@@3701	leaf
square||square.v.01	change||change.v.01@@@611	leaf
become||become.v.01	change||change.v.01@@@611	leaf
augment||augment.v.02	change||change.v.03@@@598	leaf
dissimilate||dissimilate.v.02	root	leaf
rectify||rectify.v.06	change||change.v.01@@@611	leaf
revitalize||revitalize.v.02	work||work.v.02@@@12016	leaf
devitalize||devitalize.v.01	change||change.v.02@@@547	leaf
update||update.v.01	change||change.v.01@@@611	leaf
redevelop||redevelop.v.03	contend||contend.v.01@@@3701	leaf
strip||strip.v.13	reduce||reduce.v.09@@@1140	leaf
clean||clean.v.10	contend||contend.v.01@@@3701	leaf
pick||pick.v.05	contend||contend.v.01@@@3701	leaf
clear||clear.v.24	contend||contend.v.01@@@3701	leaf
chlorinate||chlorinate.v.01	stop||stop.v.01@@@9228	leaf
seed||seed.v.07	change||change.v.01@@@611	leaf
activate||activate.v.05	change||change.v.01@@@611	leaf
mitigate||mitigate.v.02	intrude||intrude.v.03@@@10823	leaf
falsify||falsify.v.04	change||change.v.01@@@611	leaf
go_to_pot||go_to_pot.v.01	change||change.v.01@@@611	leaf
decompose||decompose.v.01	intrude||intrude.v.03@@@10823	leaf
tumble||tumble.v.09	change||change.v.02@@@547	leaf
tin||tin.v.03	root	leaf
hydrate||hydrate.v.01	intrude||intrude.v.03@@@10823	leaf
lock||lock.v.03	change||change.v.01@@@611	leaf
