Query	Parent	Child
patient_identification_systems	south australia@@@6968	leaf
skin_absorption	root	leaf
cobalt_isotopes	dental physiological phenomena@@@2855	tooth migration@@@6411
health_impact_assessment	critical care outcomes@@@6716	leaf
continuity_of_patient_care	health care evaluation mechanisms@@@8300	leaf
transportation	spectrum analysis@@@7032	spectrum analysis , raman@@@3230
physicians_'_offices	elements@@@5098	metals , light@@@3161
asthma_,_occupational	chronic disease@@@8682	leaf
social_skills	organization@@@2434	leaf
combat_disorders	anxiety disorders@@@1228	leaf
dictionary_,_dental	gases@@@8554	nitric oxide@@@6885
pulmonary_valve	sociology@@@4021	driving under the influence@@@3997
acidosis_,_renal_tubular	schools@@@1101	library schools@@@9405
lens_,_crystalline	eye@@@3214	leaf
ventricular_function_,_right	geographic locations@@@6193	baltimore@@@4097
arthroplasty_,_replacement_,_shoulder	elements@@@5098	mercury isotopes@@@8274
synovial_cyst	sociology@@@4021	mandatory testing@@@9250
health_planning_support	black sea@@@2531	leaf
portion_size	root	inactivation , metabolic@@@6855
ferm_domains	root	parity@@@8038
crack_cocaine	spinal cord injuries@@@593	leaf
epidemiological_monitoring	professional practice@@@4033	leaf
meningitis_,_viral	root	leaf
online_social_networking	organization@@@2434	leaf
pathology_,_veterinary	elements@@@5098	protons@@@2793
account_book	publication formats@@@6287	leaf
pneumonia_,_pneumococcal	infections@@@8650	sepsis@@@897
vascular_diseases	sociology@@@4021	environmental policy@@@8175
dermatitis_,_allergic_contact	root	leaf
diabetes_mellitus_,_type_2	pancreatitis@@@1327	autoimmune pancreatitis@@@4672
social_marketing	professional review organizations@@@6032	leaf
health_records_,_personal	oxides@@@5169	nitric oxide@@@6885
education_,_medical_,_continuing	oxides@@@5169	nitric oxide@@@6885
nervous_system_autoimmune_disease_,_experimental	tuberculosis@@@5818	tuberculosis , avian@@@9269
rna_,_algal	root	noise@@@1906
receptors_,_peptide	united states@@@5	massachusetts@@@4853
culture_media	manufactured materials@@@8595	leaf
mesenchymal_stem_cells	sociology@@@4021	food assistance@@@8904
lithium	auditory perception@@@4460	auditory threshold@@@7781
ion_channel_gating	neurons@@@6171	leaf
dental_pulp	jaw@@@9356	leaf
rna_precursors	programming languages@@@6021	leaf
cos_cells	mathematics@@@2781	spatial analysis@@@8044
african_union	biochemical phenomena@@@7174	in situ hybridization , fluorescence@@@8893
ear_neoplasms	head and neck neoplasms@@@867	leaf
feeder_cells	sociology@@@4021	restraint , physical@@@1812
eye_injuries	wounds and injuries@@@3991	leaf
hospital_bed_capacity	root	leaf
systematic_review	organelles@@@748	mitochondria@@@1314
cortical_spreading_depression	minerals@@@8505	graphite@@@1304
auditory_brain_stem_implantation	sociology@@@4021	poverty@@@8233
interview_,_psychological	health care evaluation mechanisms@@@8300	leaf
education_,_veterinary	tuberculosis@@@5818	tuberculosis , avian@@@9269
streptavidin	glycoproteins@@@7383	leaf
electronic_supplementary_materials	publication formats@@@6287	leaf
sex_characteristics	root	primed in situ labeling@@@7491
plant_viral_movement_proteins	pacific states@@@1404	california@@@839
consciousness_monitors	organization and administration@@@6199	transfer agreement@@@6062
age_groups	sequence analysis@@@1117	oligonucleotide array sequence analysis@@@1300
muscle_weakness	magnetic phenomena@@@5418	magnetic fields@@@3677
phantom_limb	pathologic processes@@@5217	leaf
housing	pathologic processes@@@5217	leaf
posterior_cerebral_artery	neurons@@@6171	leaf
practice_patterns_,_physicians_'	hydrocarbons@@@519	leaf
adenocarcinoma_in_situ	sociology@@@4021	legislation , food@@@1708
models_,_molecular	panic disorder@@@6712	leaf
bile_ducts	sociology@@@4021	mandatory testing@@@9250
single_photon_emission_computed_tomography_computed_tomography	diagnostic imaging@@@1156	leaf
catalog	publication formats@@@6287	leaf
trigger_points	sociology@@@4021	leaf
north_sea	cities@@@732	leaf
secretory_component	receptors , antigen@@@3730	leaf
dna	entity@@@1291	leaf
abdominal_muscles	abdomen@@@9455	inguinal canal@@@8197
aortic_valve_insufficiency	sociology@@@4021	leaf
veterans_health	organization and administration@@@6199	leaf
ethics_,_nursing	organization@@@2434	leaf
prosthesis_fitting	programming languages@@@6021	leaf
sepsis	elementary particles@@@1863	electrons@@@2000
animals_,_inbred_strains	dental physiological phenomena@@@2855	dental enamel permeability@@@4833
carcinoma_,_transitional_cell	abdomen@@@9455	leaf
new_south_wales	complement system proteins@@@6013	complement activating enzymes@@@2903
tai_ji	learning@@@7873	leaf
perioperative_medicine	elements@@@5098	protons@@@2793
survival_rate	hospital mortality@@@2645	leaf
prospective_studies	patient reported outcome measures@@@4290	leaf
cell_respiration	united states@@@5	massachusetts@@@4853
clinical_protocols	elementary particles@@@1863	electrons@@@2000
molar_,_third	jaw@@@9356	leaf
receptors_,_glucocorticoid	natural science disciplines@@@5851	poisson distribution@@@5801
pattern_recognition_,_visual	learning@@@7873	leaf
receptors_,_death_domain	natural science disciplines@@@5851	poisson distribution@@@5801
tibia	carotid arteries@@@1461	leaf
patient_care_planning	oxides@@@5169	nitrogen oxides@@@5266
photons	equipment and supplies@@@9075	leaf
insulin_antibodies	root	leaf
body_remains	anatomical structure@@@5231	leaf
chief_executive_officers_,_hospital	nitrogen oxides@@@5266	nitrogen dioxide@@@2739
anger	root	leaf
anomalous_left_coronary_artery	sociology@@@4021	leaf
narrative_medicine	publication formats@@@6287	leaf
polymorphism_,_restriction_fragment_length	publication formats@@@6287	leaf
child_language	learning@@@7873	leaf
midline_thalamic_nuclei	neurons@@@6171	leaf
period_circadian_proteins	root	primed in situ labeling@@@7491
language_arts	language@@@2168	leaf
miller_fisher_syndrome	library science@@@3551	library surveys@@@7470
carrier_state	disease@@@5119	leaf
nitrogen_compounds	sociology@@@4021	child abuse@@@5535
egg_proteins_,_dietary	root	leaf
delivery_rooms	elements@@@5098	metals , light@@@3161
contraception	cardiovascular surgical procedures@@@8090	leaf
aneurysm	sociology@@@4021	comparative effectiveness research@@@2341
sequence_deletion	genome components@@@2687	leaf
death_domain_superfamily	water pollution@@@6613	water pollution , chemical@@@4976
dental_marginal_adaptation	dentistry@@@3423	leaf
dental_instruments	dentistry@@@3423	dental pins@@@963
computed_tomography_angiography	planets@@@7113	mercury , planet@@@452
international_classification_of_functioning_,_disability_and_health	nitrogen oxides@@@5266	nitric oxide@@@6885
nursing_assessment	patient care@@@132	obstetric nursing@@@4819
limited_english_proficiency	legislation as topic@@@4338	health plan implementation@@@8703
elbow_joint	wrist joint@@@3610	leaf
hypothalamus_,_middle	sociology@@@4021	mandatory testing@@@9250
collection	basal ganglia@@@7159	ventral striatum@@@2298
absorption_,_radiation	radiation exposure@@@4650	leaf
osteoporosis	chemical phenomena@@@1415	chemical precipitation@@@9270
abortion_applicants	light@@@3286	luminescence@@@3197
microscopy_,_scanning_probe	publication formats@@@6287	leaf
disease_models_,_animal	elementary particles@@@1863	electrons@@@2000
seasons	root	aluminum oxide@@@4597
hospital_bed_capacity_,_100_to_299	protein structural elements@@@792	catalytic domain@@@5849
burn_units	emergency treatment@@@5887	resuscitation@@@1443
students_,_nursing	health planning organizations@@@9495	leaf
glasgow_coma_scale	organization and administration@@@6199	leaf
popular_work	tuberculosis@@@5818	tuberculosis , avian@@@9269
medicare_part_b	elements@@@5098	chromium isotopes@@@7823
exercise_therapy	professional practice@@@4033	ethics consultation@@@7205
ireland	root	activation analysis@@@6145
