Query	Parent	Child
spoonfeed||spoonfeed.v.02	teach||teach.v.01	pseudo leaf
walk||walk.v.06	live||live.v.02	pseudo leaf
set||set.v.05	put||put.v.02	pseudo leaf
look||look.v.09	accord||accord.v.02	pseudo leaf
charge||charge.v.17	move||move.v.02	pseudo leaf
decorate||decorate.v.01	change||change.v.01	pseudo leaf
jump||jump.v.08	descend||descend.v.01	pseudo leaf
weld||weld.v.01	join||join.v.02	pseudo leaf
rabbet||rabbet.v.02	cut||cut.v.01	pseudo leaf
perk_up||perk_up.v.01	change||change.v.02	pseudo leaf
roughcast||roughcast.v.02	paint||paint.v.02	pseudo leaf
receive||receive.v.05	request||request.v.01	pseudo leaf
show||show.v.10	testify||testify.v.02	attest||attest.v.01
flash||flash.v.04	pseudo root	pseudo leaf
bream||bream.v.01	change||change.v.01	pseudo leaf
tin||tin.v.03	create_from_raw_material||create_from_raw_material.v.01	pseudo leaf
nest||nest.v.04	gather||gather.v.01	pseudo leaf
stretch||stretch.v.02	pseudo root	limber_up||limber_up.v.02
agree||agree.v.02	accept||accept.v.03	assent||assent.v.01
anneal||anneal.v.01	change||change.v.01	pseudo leaf
read||read.v.04	get||get.v.01	pseudo leaf
draw||draw.v.04	create_by_mental_act||create_by_mental_act.v.01	pseudo leaf
grow||grow.v.04	change||change.v.01	foliate||foliate.v.05
play||play.v.06	repeat||repeat.v.05	pseudo leaf
fix||fix.v.12	equip||equip.v.01	pseudo leaf
ice_up||ice_up.v.01	pseudo root	pseudo leaf
stumble||stumble.v.03	pseudo root	pseudo leaf
foul_out||foul_out.v.01	hit||hit.v.01	pseudo leaf
presume||presume.v.04	pseudo root	pseudo leaf
set||set.v.05	put||put.v.02	pseudo leaf
sieve||sieve.v.02	check||check.v.22	pseudo leaf
deliver||deliver.v.02	bring||bring.v.04	misdeliver||misdeliver.v.01
dispatch||dispatch.v.05	kill||kill.v.01	pseudo leaf
point||point.v.09	mark||mark.v.05	pseudo leaf
visit||visit.v.08	assail||assail.v.01	pseudo leaf
backfire||backfire.v.02	sound||sound.v.02	pseudo leaf
betray||betray.v.01	unwrap||unwrap.v.02	pseudo leaf
derate||derate.v.01	change||change.v.01	pseudo leaf
clarion||clarion.v.01	blow||blow.v.02	pseudo leaf
decouple||decouple.v.02	distinguish||distinguish.v.01	pseudo leaf
fulminate||fulminate.v.03	explode||explode.v.01	pseudo leaf
have||have.v.02	pseudo root	pseudo leaf
lexicalize||lexicalize.v.01	pseudo root	pseudo leaf
hoax||hoax.v.01	feign||feign.v.01	pseudo leaf
nobble||nobble.v.04	disable||disable.v.01	pseudo leaf
tape||tape.v.01	fasten||fasten.v.01	pseudo leaf
affect||affect.v.01	change||change.v.01	pseudo leaf
examine||examine.v.02	survey||survey.v.02	overlook||overlook.v.05
pledge||pledge.v.01	promise||promise.v.01	pseudo leaf
extend||extend.v.06	be||be.v.03	radiate||radiate.v.03
activate||activate.v.05	change||change.v.01	pseudo leaf
destalinize||destalinize.v.01	counteract||counteract.v.03	pseudo leaf
discharge||discharge.v.10	free||free.v.06	pseudo leaf
scale||scale.v.08	proportion||proportion.v.02	pseudo leaf
kayak||kayak.v.01	boat||boat.v.01	pseudo leaf
trickle||trickle.v.01	run||run.v.06	pseudo leaf
bunk_off||bunk_off.v.01	re-create||re-create.v.01	pseudo leaf
incarnate||incarnate.v.02	represent||represent.v.09	pseudo leaf
bring||bring.v.06	accompany||accompany.v.02	pseudo leaf
stand||stand.v.01	lie||lie.v.01	pseudo leaf
jot_down||jot_down.v.01	write||write.v.02	pseudo leaf
x-ray||x-ray.v.01	check||check.v.02	pseudo leaf
perturb||perturb.v.01	worry||worry.v.03	pseudo leaf
confirm||confirm.v.05	inaugurate||inaugurate.v.01	pseudo leaf
noose||noose.v.01	fasten||fasten.v.01	pseudo leaf
dehydrogenate||dehydrogenate.v.01	change||change.v.01	oxygenize||oxygenize.v.02
move_in||move_in.v.03	move||move.v.04	pseudo leaf
