Query	Parent	Child
hack||hack.v.08	azure||azure.v.01@@@1363	leaf
expectorate||expectorate.v.02	flush||flush.v.02@@@2219	wash_down||wash_down.v.02@@@2218
yawn||yawn.v.01	rake||rake.v.03@@@13317	enfilade||enfilade.v.01@@@13318
presume||presume.v.04	azure||azure.v.01@@@1363	leaf
nap||nap.v.01	slack||slack.v.01@@@12263	leaf
bed_down||bed_down.v.01	azure||azure.v.01@@@1363	leaf
perk_up||perk_up.v.01	azure||azure.v.01@@@1363	leaf
stretch||stretch.v.02	stretch||stretch.v.02@@@120	spread-eagle||spread-eagle.v.01@@@121
exsert||exsert.v.01	exsert||exsert.v.01@@@122	hyperextend||hyperextend.v.01@@@123
giggle||giggle.v.01	azure||azure.v.01@@@1363	leaf
groom||groom.v.03	fancify||fancify.v.01@@@1415	groom||groom.v.03@@@192
barber||barber.v.01	make||make.v.16@@@8742	leaf
spruce_up||spruce_up.v.02	flaunt||flaunt.v.01@@@10685	splurge||splurge.v.02@@@10687
overdress||overdress.v.02	azure||azure.v.01@@@1363	leaf
spat||spat.v.06	move||move.v.02@@@9182	spat||spat.v.06@@@279
foal||foal.v.01	produce||produce.v.01@@@8724	calve||calve.v.02@@@293
litter||litter.v.03	mottle||mottle.v.02@@@2489	stipple||stipple.v.04@@@7646
face-lift||face-lift.v.01	azure||azure.v.01@@@1363	leaf
transpire||transpire.v.05	pass||pass.v.22@@@10228	leaf
concuss||concuss.v.02	traumatize||traumatize.v.01@@@444	leaf
excrete||excrete.v.01	crosshatch||crosshatch.v.01@@@8447	leaf
evacuate||evacuate.v.05	exhaust||exhaust.v.05@@@520	evacuate||evacuate.v.05@@@362
manipulate||manipulate.v.06	crosshatch||crosshatch.v.01@@@8447	leaf
strap||strap.v.04	brace||brace.v.02@@@5945	leaf
canker||canker.v.02	infect||infect.v.02@@@436	superinfect||superinfect.v.01@@@437
subluxate||subluxate.v.01	wax||wax.v.01@@@6219	beeswax||beeswax.v.01@@@6220
recuperate||recuperate.v.03	azure||azure.v.01@@@1363	leaf
spring||spring.v.04	azure||azure.v.01@@@1363	leaf
leaf||leaf.v.03	azure||azure.v.01@@@1363	leaf
rejuvenate||rejuvenate.v.05	silverplate||silverplate.v.01@@@6923	leaf
regenerate||regenerate.v.08	regenerate||regenerate.v.08@@@484	leaf
scab||scab.v.01	form||form.v.03@@@13014	leaf
skin_over||skin_over.v.01	change||change.v.02@@@547	leaf
pale||pale.v.01	decay||decay.v.02@@@986	wilt||wilt.v.02@@@2286
feel||feel.v.04	desire||desire.v.01@@@9074	ache||ache.v.02@@@8979
jaundice||jaundice.v.02	affect||affect.v.02@@@85	jaundice||jaundice.v.02@@@528
fracture||fracture.v.05	fissure||fissure.v.01@@@1641	leaf
continue||continue.v.10	delay||delay.v.02@@@13101	postpone||postpone.v.01@@@13104
dedifferentiate||dedifferentiate.v.01	crystallize||crystallize.v.04@@@2163	devitrify||devitrify.v.01@@@2462
mutate||mutate.v.01	change||change.v.02@@@547	leaf
revolutionize||revolutionize.v.01	tin||tin.v.01@@@6917	leaf
demythologize||demythologize.v.01	estrange||estrange.v.01@@@12896	leaf
affect||affect.v.01	affect||affect.v.01@@@629	strike_a_blow||strike_a_blow.v.01@@@630
tie||tie.v.05	tie||tie.v.01@@@6317	band||band.v.01@@@6423
draw||draw.v.35	compress||compress.v.02@@@6876	choke||choke.v.02@@@7804
form||form.v.07	form||form.v.07@@@664	constellate||constellate.v.03@@@649
square||square.v.01	azure||azure.v.01@@@1363	leaf
become||become.v.01	wax||wax.v.01@@@6219	beeswax||beeswax.v.01@@@6220
augment||augment.v.02	inspire||inspire.v.01@@@9011	bring_out||bring_out.v.06@@@9040
dissimilate||dissimilate.v.02	smock||smock.v.01@@@8349	leaf
rectify||rectify.v.06	convert||convert.v.02@@@557	lapidify||lapidify.v.01@@@2473
revitalize||revitalize.v.02	recreate||recreate.v.04@@@8647	reinvent||reinvent.v.02@@@8648
devitalize||devitalize.v.01	flush||flush.v.02@@@2219	wash_down||wash_down.v.02@@@2218
update||update.v.01	azure||azure.v.01@@@1363	leaf
redevelop||redevelop.v.03	plan||plan.v.02@@@3452	intend||intend.v.02@@@3474
strip||strip.v.13	throb||throb.v.01@@@10592	twang||twang.v.03@@@10593
clean||clean.v.10	dry||dry.v.01@@@1035	leaf
pick||pick.v.05	pick||pick.v.05@@@815	leaf
clear||clear.v.24	sound||sound.v.02@@@10857	leaf
chlorinate||chlorinate.v.01	blend||blend.v.03@@@1929	absorb||absorb.v.05@@@1931
seed||seed.v.07	inoculate||inoculate.v.02@@@875	seed||seed.v.07@@@876
activate||activate.v.05	azure||azure.v.01@@@1363	leaf
mitigate||mitigate.v.02	weaken||weaken.v.01@@@1069	enervate||enervate.v.01@@@1901
falsify||falsify.v.04	azure||azure.v.01@@@1363	leaf
go_to_pot||go_to_pot.v.01	silverplate||silverplate.v.01@@@6923	leaf
decompose||decompose.v.01	crosshatch||crosshatch.v.01@@@8447	leaf
tumble||tumble.v.09	flush||flush.v.02@@@2219	wash_down||wash_down.v.02@@@2218
tin||tin.v.03	change||change.v.01@@@611	leaf
hydrate||hydrate.v.01	flush||flush.v.02@@@2219	wash_down||wash_down.v.02@@@2218
lock||lock.v.03	loosen||loosen.v.07@@@2041	leaf
abridge||abridge.v.02	azure||azure.v.01@@@1363	leaf
grow||grow.v.04	smock||smock.v.01@@@8349	leaf
pullulate||pullulate.v.04	wax||wax.v.01@@@6219	beeswax||beeswax.v.01@@@6220
manifold||manifold.v.01	azure||azure.v.01@@@1363	leaf
leapfrog||leapfrog.v.02	azure||azure.v.01@@@1363	leaf
rejuvenate||rejuvenate.v.03	tram||tram.v.01@@@9671	leaf
antiquate||antiquate.v.01	dive||dive.v.03@@@9765	skin-dive||skin-dive.v.01@@@9767
mellow||mellow.v.02	change||change.v.01@@@611	spirit||spirit.v.01@@@905
bilge||bilge.v.01	smock||smock.v.01@@@8349	leaf
visit||visit.v.08	prod||prod.v.02@@@5998	goad||goad.v.02@@@6056
tinker||tinker.v.03	azure||azure.v.01@@@1363	leaf
copolymerize||copolymerize.v.01	polymerize||polymerize.v.02@@@1270	copolymerize||copolymerize.v.01@@@1271
ionize||ionize.v.02	evaporate||evaporate.v.03@@@2852	pervaporate||pervaporate.v.01@@@1793
dwindle||dwindle.v.01	wax||wax.v.01@@@6219	beeswax||beeswax.v.01@@@6220
desensitize||desensitize.v.02	azure||azure.v.01@@@1363	leaf
wash||wash.v.10	reshape||reshape.v.02@@@8259	leaf
tidy||tidy.v.01	azure||azure.v.01@@@1363	leaf
discolor||discolor.v.03	change||change.v.01@@@611	leaf
stain||stain.v.01	dye||dye.v.01@@@1355	stain||stain.v.01@@@1372
hand-dye||hand-dye.v.01	dye||dye.v.01@@@1355	double_dye||double_dye.v.01@@@1385
tone||tone.v.04	color||color.v.01@@@1360	tone||tone.v.04@@@1398
effuse||effuse.v.03	emit||emit.v.02@@@13738	leaf
bloom||bloom.v.01	rail||rail.v.01@@@4392	leaf
temper||temper.v.04	weaken||weaken.v.01@@@1069	temper||temper.v.04@@@1423
adjust||adjust.v.04	wax||wax.v.01@@@6219	beeswax||beeswax.v.01@@@6220
set||set.v.05	azure||azure.v.01@@@1363	leaf
regulate||regulate.v.01	adjust||adjust.v.01@@@1430	compensate||compensate.v.01@@@13247
anneal||anneal.v.01	change||change.v.02@@@547	leaf
fulminate||fulminate.v.03	explode||explode.v.02@@@1477	crump||crump.v.03@@@1482
dehydrogenate||dehydrogenate.v.01	spot||spot.v.05@@@2486	fox||fox.v.03@@@2488
burst||burst.v.01	break||break.v.02@@@1628	burst||burst.v.08@@@1624
luxuriate||luxuriate.v.03	azure||azure.v.01@@@1363	leaf
infuscate||infuscate.v.01	turn||turn.v.14@@@1351	leaf
shorten||shorten.v.01	azure||azure.v.01@@@1363	leaf
elongate||elongate.v.01	azure||azure.v.01@@@1363	leaf
scale||scale.v.08	quantify||quantify.v.02@@@2380	scale||scale.v.07@@@2382
cork||cork.v.02	flush||flush.v.02@@@2219	wash_down||wash_down.v.02@@@2218
barbeque||barbeque.v.01	azure||azure.v.01@@@1363	leaf
draw||draw.v.33	flush||flush.v.02@@@2219	wash_down||wash_down.v.02@@@2218
powderize||powderize.v.02	flush||flush.v.02@@@2219	wash_down||wash_down.v.02@@@2218
partition||partition.v.02	wax||wax.v.01@@@6219	beeswax||beeswax.v.01@@@6220
burst||burst.v.08	burst||burst.v.08@@@1624	leaf
stave_in||stave_in.v.01	azure||azure.v.01@@@1363	leaf
crumb||crumb.v.02	break||break.v.02@@@1628	crumb||crumb.v.02@@@1651
break||break.v.53	azure||azure.v.01@@@1363	leaf
come||come.v.06	azure||azure.v.01@@@1363	leaf
develop||develop.v.09	azure||azure.v.01@@@1363	leaf
jump_off||jump_off.v.01	wax||wax.v.01@@@6219	beeswax||beeswax.v.01@@@6220
begin||begin.v.03	start||start.v.09@@@9245	go_on||go_on.v.05@@@7584
ask_for_it||ask_for_it.v.01	wax||wax.v.01@@@6219	beeswax||beeswax.v.01@@@6220
cut_out||cut_out.v.06	wax||wax.v.01@@@6219	beeswax||beeswax.v.01@@@6220
come_to_life||come_to_life.v.01	azure||azure.v.01@@@1363	leaf
drop||drop.v.07	azure||azure.v.01@@@1363	leaf
sublime||sublime.v.01	azure||azure.v.01@@@1363	leaf
transpire||transpire.v.02	flush||flush.v.02@@@2219	wash_down||wash_down.v.02@@@2218
league||league.v.01	azure||azure.v.01@@@1363	leaf
cool||cool.v.02	heat||heat.v.01@@@1812	soak||soak.v.09@@@1816
ice||ice.v.03	glide||glide.v.01@@@9365	snowboard||snowboard.v.01@@@10510
scald||scald.v.03	heat||heat.v.01@@@1812	scald||scald.v.03@@@1813
decoct||decoct.v.01	heat||heat.v.01@@@1812	scald||scald.v.03@@@1813
map||map.v.06	specify||specify.v.03@@@12952	pin_down||pin_down.v.01@@@3502
flour||flour.v.02	convert||convert.v.02@@@557	flour||flour.v.02@@@1862
islamize||islamize.v.02	convert||convert.v.03@@@1877	leaf
evangelize||evangelize.v.02	convert||convert.v.03@@@1877	leaf
invert||invert.v.01	change||change.v.01@@@611	leaf
waste||waste.v.08	smock||smock.v.01@@@8349	leaf
dull||dull.v.07	intensify||intensify.v.03@@@1076	brisk||brisk.v.01@@@973
subtilize||subtilize.v.03	azure||azure.v.01@@@1363	leaf
acclimatize||acclimatize.v.01	azure||azure.v.01@@@1363	leaf
fix||fix.v.12	plan||plan.v.02@@@3452	slate||slate.v.01@@@3476
expatriate||expatriate.v.02	wax||wax.v.01@@@6219	beeswax||beeswax.v.01@@@6220
buckram||buckram.v.01	azure||azure.v.01@@@1363	leaf
stiffen||stiffen.v.01	azure||azure.v.01@@@1363	leaf
clamp_down||clamp_down.v.01	smock||smock.v.01@@@8349	leaf
vanish||vanish.v.04	interrupt||interrupt.v.04@@@1778	hold_on||hold_on.v.02@@@1770
thin_out||thin_out.v.02	tin||tin.v.01@@@6917	leaf
thicken||thicken.v.03	flush||flush.v.02@@@2219	wash_down||wash_down.v.02@@@2218
full||full.v.02	design||design.v.03@@@8165	gore||gore.v.02@@@7746
vary||vary.v.04	tram||tram.v.01@@@9671	leaf
checker||checker.v.02	swan||swan.v.03@@@9276	leaf
