Query	Parent	Child
pickled capers	parivyaya	pseudo leaf
veal shoulder	poultry	pseudo leaf
gin	alcoholic beverage	pseudo leaf
dark soy sauce	soy sauce	pseudo leaf
curry powder	food powder	pseudo leaf
hemp milk	milk	pseudo leaf
sea salt	food	pseudo leaf
olive juice	juice	pseudo leaf
pepperoni	chili pepper	pseudo leaf
frozen dessert	dessert	pseudo leaf
stimulant foodstuff	condiment	pseudo leaf
palm sugar	sugar product	pseudo leaf
suet	condiment	pseudo leaf
tagliolini	pasta	pseudo leaf
fermented milk products other than sour cream and cottage cheese	fermented milk product	pseudo leaf
wheat flakes	breakfast cereal	pseudo leaf
barley	grain	pseudo leaf
french onion soup	soup	pseudo leaf
ground beef	poultry	pseudo leaf
coconut liqueur	liqueur	pseudo leaf
lamb broth	broth	pseudo leaf
parsnip	vegetable	pseudo leaf
shirataki noodles	noodle	pseudo leaf
quail eggs	poultry	pseudo leaf
cucumber juice	juice	pseudo leaf
sesame oil	cooking oil	pseudo leaf
strawberry	food ingredient	pseudo leaf
hamburger	poultry	pseudo leaf
fresh cheese	cheese	pseudo leaf
instant mashed potatoes	pasta	pseudo leaf
confection	condiment	pseudo leaf
rapeseed oil	cooking oil	pseudo leaf
bottled water	food	pseudo leaf
offal	vegetable	pseudo leaf
meringue	condiment	pseudo leaf
mustard	parivyaya	pseudo leaf
marmalade	condiment	pseudo leaf
cornbread	flatbread	pseudo leaf
turkey heart	poultry	pseudo leaf
cracklings	food	pseudo leaf
lean meat	meat	pseudo leaf
salt pork	poultry	pseudo leaf
pork belly	poultry	pseudo leaf
dessert with spoon	food	pseudo leaf
ginger beer	beer	pseudo leaf
beef liver	liver	pseudo leaf
cottage cheese	cheese	pseudo leaf
mixed nuts	food	pseudo leaf
home fries	food	pseudo leaf
alfalfa sprouts	vegetable	pseudo leaf
layer cake	baked good	pseudo leaf
grape leaves	food	pseudo leaf
rice	grain	pseudo leaf
canned pineapple	food ingredient	pseudo leaf
hot mustard	condiment	pseudo leaf
double cream	ice cream	pseudo leaf
roux	cheese	pseudo leaf
apricot marmalade	vegetable	pseudo leaf
apple cider	vegetable	pseudo leaf
grape soda	diet soda	pseudo leaf
popcorn	food	pseudo leaf
truffle	poultry	pseudo leaf
sandwich	food	pseudo leaf
buckwheat noodles	pasta	pseudo leaf
garam masala	poultry	pseudo leaf
bakers yeast	yeast	pseudo leaf
textured vegetable protein	food	pseudo leaf
elderflower cordial	edible flower	pseudo leaf
potato salad	salad	pseudo leaf
peach jam	jam	pseudo leaf
tenderloin	condiment	pseudo leaf
milk substitute	food substitute	pseudo leaf
kidney bean	bean	pseudo leaf
nonpareils	food	pseudo leaf
raspberry juice	juice	pseudo leaf
asparagus	vegetable	pseudo leaf
garlic paste	condiment	pseudo leaf
meat product	food	pseudo leaf
hazelnut butter	butter	pseudo leaf
paprika	condiment	pseudo leaf
pink grapefruit juice	juice	pseudo leaf
spiced rum	rum	pseudo leaf
almond butter	edible fats and oils	pseudo leaf
iced tea	tea	pseudo leaf
garlic salt	table salt	pseudo leaf
fruit jam	jam	pseudo leaf
cayenne pepper	chili pepper	pseudo leaf
liverwurst	condiment	pseudo leaf
pork stock	stock	pseudo leaf
sangria	food	pseudo leaf
fennel bulb	food	pseudo leaf
capellini	cheese	pseudo leaf
fruit dish	food	maraschino cherry
drinking water	food	pseudo leaf
